sample_index,mission_success,normalized_orbit_error
1,0,68.5258330755
2,0,3.39024875776
3,0,68.9347233802
4,0,120.946711311
5,0,20.6145279209
6,0,75.3740715743
7,0,38.4603610451
8,0,18.4217929477
9,0,99.1436865672
10,0,64.0489088751
11,0,13.0340332467
12,0,19.3894627245
13,0,26.6475047014
14,0,2.50459470272
15,0,58.3103814719
16,0,29.2198763799
17,0,68.3678587621
18,0,7.22831031573
19,0,80.2098873439
20,0,23.2420118557
21,0,46.4688789674
22,0,6.12831886616
23,0,114.759103471
24,0,76.3058491397
25,0,25.5058660651
26,0,55.0692625146
27,0,19.9526782161
28,0,3.20825908934
29,0,102.117731518
30,0,40.4624537814
31,0,41.0108298406
32,0,72.5343119273
33,0,30.3781020271
34,0,59.1870116653
35,0,189.30846787
36,0,60.6911782794
37,0,17.1439289971
38,0,35.4451705848
39,0,3.80560169429
40,0,42.5587920044
41,0,1.76436219569
42,0,169.051160115
43,0,189.57333986
44,0,25.6554913659
45,0,66.6125885819
46,0,25.8201559534
47,0,84.6432861181
48,0,13.18058987
49,0,28.8791032658
50,0,4.84571401437
51,0,11.9263361713
52,0,28.2357960161
53,0,85.1745990251
54,0,69.8694776979
55,0,73.010679432
56,0,1.79152979929
57,0,15.8680773954
58,0,53.0969018108
59,0,42.6505237428
60,0,46.7529081215
61,0,2.55480059585
62,0,42.7181006444
63,0,46.1011641874
64,0,36.5629769334
65,0,74.3241585267
66,0,13.3377861262
67,0,116.800087952
68,0,12.813435966
69,0,19.2340981511
70,0,59.2350096701
71,0,101.27945196
72,0,97.0264825004
73,0,76.2300354411
74,0,49.6776652296
75,0,155.576592899
76,0,30.7365751731
77,0,45.3446762821
78,0,81.831044623
79,0,67.873993854
80,0,44.1441510767
81,0,56.7279342189
82,0,3.73951946048
83,0,26.259401266
84,0,59.2458041787
85,0,72.9653543549
86,0,52.2152064947
87,0,41.1046312326
88,0,2.36529459657
89,0,1.99311608757
90,0,92.8445840257
91,0,28.2212729806
92,0,9.64058299103
93,0,51.381046429
94,0,3.98831939276
95,0,75.0331714039
96,0,34.5331518207
97,0,135.034650202
98,0,19.8560669724
99,0,24.6762761304
100,0,46.0156885139
101,0,34.8249014609
102,0,8.79116179943
103,0,5.83535024822
104,0,5.22111785617
105,0,31.4445022372
106,0,14.0321795574
107,0,80.2810997569
108,0,87.1884586383
109,0,103.94122428
110,0,114.239759382
111,0,21.6241639332
112,0,65.7075617168
113,0,4.97361159593
114,0,47.1200058388
115,0,13.7890290909
116,0,9.64321601784
117,0,89.8782163763
118,0,118.376033193
119,0,73.6840098899
120,0,43.7586669661
121,0,41.5443809153
122,0,12.2525761316
123,0,78.9286894828
124,0,109.556736052
125,0,22.6838652538
126,0,13.7143464048
127,0,171.751850558
128,0,10.0341088425
129,0,29.3012700918
130,0,49.7071022249
131,0,102.688155272
132,0,75.0018602658
133,0,44.6908480495
134,0,112.131070224
135,0,24.9360095072
136,0,71.1055831668
137,0,28.8066066441
138,0,66.2858615391
139,0,70.3975973204
140,0,66.228233037
141,0,39.5687333367
142,0,19.9009880119
143,0,84.8526398102
144,0,36.841076966
145,0,114.754906641
146,0,90.084708776
147,0,29.9606443618
148,0,75.827157446
149,0,55.1942048692
150,0,124.751572035
151,0,86.5603618446
152,0,22.9764722525
153,0,86.0752560939
154,0,47.476148003
155,0,137.479816231
156,0,7.7348000813
157,0,155.288674769
158,0,6.52821065314
159,0,16.3588926909
160,0,104.346986107
161,0,151.204341667
162,0,15.3176692604
163,0,13.6595050721
164,0,111.350251224
165,0,93.4007551607
166,0,46.0419342027
167,0,37.6958313575
168,0,121.257340644
169,0,59.7733226633
170,0,15.5040550804
171,0,18.9873386101
172,0,1.86663062562
173,0,24.9651308325
174,0,9.11858862326
175,0,89.0525991819
176,0,43.816227258
177,0,6.63769393689
178,0,83.0057219833
179,0,125.115201343
180,0,35.3844777127
181,1,0.771715111855
182,0,116.9910436
183,0,5.17005901718
184,0,45.3852898093
185,0,107.921880083
186,0,105.344980052
187,0,99.9127385498
188,0,46.5611806483
189,0,27.0006522077
190,0,57.328740906
191,0,116.490228283
192,0,207.50067032
193,0,15.0133426888
194,0,110.080353873
195,0,157.562135992
196,0,86.0934823802
197,0,33.5275966181
198,0,23.0453183227
199,0,23.2897028705
200,0,68.7029756945
201,0,59.9449317082
202,0,80.3620302795
203,0,21.4625367799
204,0,90.0713667866
205,0,14.6697311746
206,0,20.7180271821
207,0,37.7090072991
208,0,142.945134424
209,0,24.4798917476
210,0,16.5977504886
211,0,24.568051456
212,0,124.932041133
213,0,23.5336374284
214,0,71.6366650892
215,0,150.881735143
216,0,65.0990392771
217,0,75.047238429
218,0,47.8317304919
219,0,24.20129267
220,0,116.278574769
221,0,78.9544910616
222,0,96.9070623358
223,0,164.760837083
224,0,19.0745725353
225,0,110.84433242
226,0,3.90000055482
227,0,158.762732835
228,0,60.1388243691
229,0,30.3317148203
230,0,10.9040756804
231,0,7.67091987461
232,0,46.7495154485
233,0,35.5311190451
234,0,40.1011603322
235,0,59.9708052161
236,0,59.9666351597
237,0,46.0849714249
238,0,94.0021346905
239,0,32.6902369882
240,0,21.2604737931
241,0,146.958271113
242,0,55.3367885284
243,0,136.428352652
244,0,45.8460585826
245,0,32.1511869094
246,0,36.6572252291
247,0,49.9981331825
248,0,13.8821895495
249,0,37.8806708001
250,0,63.6546913611
251,0,32.6877786702
252,0,160.192586516
253,0,31.6968279543
254,0,16.9795681328
255,0,21.1416549543
256,0,80.8755589162
257,0,9.36333038651
258,0,41.6048622296
259,0,18.8760397793
260,0,27.9966170934
261,0,169.776934855
262,0,55.4892860986
263,0,91.1609640961
264,0,21.5193658898
265,0,14.4290390181
266,0,39.208747574
267,0,100.275189363
268,0,8.92744524085
269,0,38.650773135
270,0,55.2372154512
271,0,79.5386062429
272,0,57.7300683788
273,0,9.29171095059
274,0,76.7893687956
275,0,78.3336856342
276,0,73.5298109767
277,0,9.69879372591
278,0,52.0288639284
279,0,15.5014663996
280,0,3.92301797419
281,0,144.284162754
282,0,17.5692136908
283,0,35.5795699588
284,0,73.3982415447
285,0,159.379854252
286,0,12.9488407118
287,0,120.211420461
288,0,22.006514634
289,0,177.26891757
290,0,108.397630924
291,0,19.7616164293
292,0,53.6867413799
293,0,1.43964697961
294,0,57.9359215857
295,0,32.5086268415
296,0,88.7801872808
297,0,73.9644162321
298,0,25.3907902
299,0,59.3483315349
300,0,13.7617118537
301,0,30.3828308072
302,0,25.2819588014
303,0,13.9535256829
304,0,83.2642071341
305,0,58.2703431557
306,0,51.5116637748
307,0,57.757662285
308,0,23.2485861888
309,0,13.4796872608
310,0,105.859511114
311,0,20.5459125482
312,0,50.0176318821
313,0,137.34475303
314,0,4.06998387512
315,0,23.7843712579
316,0,23.0893128431
317,0,39.446174733
318,0,49.004269192
319,0,22.2102252821
320,0,123.358238553
321,0,61.7080795179
322,0,110.355490423
323,0,58.7626351928
324,0,46.3722244178
325,0,75.2372430045
326,0,58.2189868967
327,0,217.992125642
328,0,13.6725831415
329,0,11.7343980648
330,0,34.8603959357
331,0,43.8875163434
332,0,106.89510213
333,0,11.0700821942
334,0,35.4242833768
335,0,28.24944377
336,0,81.7763109461
337,0,17.9083432054
338,0,70.2083448501
339,0,55.8586886408
340,0,31.2242544288
341,0,2.90270546013
342,0,60.3074840131
343,0,62.0138144161
344,0,54.1067403413
345,0,212.154691982
346,0,111.184474803
347,0,44.2305590898
348,0,70.1614362829
349,0,83.9038343926
350,0,16.0503081692
351,0,125.718375204
352,0,185.497876901
353,0,24.2437468026
354,0,115.813238301
355,0,49.3249318365
356,0,97.1485852663
357,0,70.6907265993
358,0,20.7396188834
359,0,15.2567041416
360,0,7.36466170493
361,0,139.270040417
362,0,19.3980867276
363,0,58.1399235632
364,0,13.2609404207
365,0,37.6918355189
366,0,6.62312053797
367,0,14.9377178251
368,0,1.87994921335
369,0,40.1653464996
370,0,104.778435609
371,0,40.3620445016
372,0,109.266446175
373,0,35.9561943728
374,0,51.9894929335
375,0,32.8687255309
376,0,27.9489872346
377,0,106.572293996
378,0,13.8360955411
379,0,21.8885607181
380,0,84.1283961153
381,0,31.4645617943
382,0,9.77251854624
383,0,69.261353859
384,0,4.74203401012
385,0,116.614223382
386,0,142.542677826
387,0,30.0368213092
388,0,41.9134094299
389,0,13.9134068465
390,0,110.538061514
391,0,32.7353854268
392,0,72.2589604867
393,0,45.9678859474
394,0,52.1377522328
395,0,148.188209011
396,0,80.2794169516
397,0,69.2389779867
398,0,7.1961270662
399,0,195.449008112
400,0,10.6396063034
